Resource Type: ALL
Anomaly Type: ALL
Traffic Direction: Outgoing
Anomaly Status: ALL
Minimum Severity: Yellow
Start Time: 2020/10/29 12:00
Until: 2020/11/1 12:59
Duration: 
Traffic Amount: 
Victim/Infected IP Prefix: 


No., ID, CHK, Impact, Status, Start Time / End Time, Duration, Direction, Type, Resource
83,100236,,Yellow /612.70 Mbps /  over 200.00 Mbps / max 612.70 Mbps,Recovered,11-01 05:2611-01 05:29,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
84,100235,,Yellow /531.11 Mbps /  over 50.00 Mbps / max 531.11 Mbps,Recovered,11-01 05:2611-01 05:29,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
85,100234,,Yellow /681.81 Mbps /  over 200.00 Mbps / max 681.81 Mbps,Recovered,11-01 05:2111-01 05:24,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
86,100233,,Yellow /602.05 Mbps /  over 50.00 Mbps / max 602.05 Mbps,Recovered,11-01 05:2111-01 05:24,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
87,100232,,Yellow /716.47 Mbps /  over 200.00 Mbps / max 716.47 Mbps,Recovered,11-01 05:1611-01 05:19,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
88,100231,,Yellow /626.94 Mbps /  over 50.00 Mbps / max 626.94 Mbps,Recovered,11-01 05:1611-01 05:19,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
89,100230,,Yellow /698.48 Mbps /  over 200.00 Mbps / max 698.48 Mbps,Recovered,11-01 05:1111-01 05:14,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
90,100229,,Yellow /586.30 Mbps /  over 50.00 Mbps / max 586.30 Mbps,Recovered,11-01 05:1111-01 05:14,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
91,100228,,Yellow /679.13 Mbps /  over 200.00 Mbps / max 679.13 Mbps,Recovered,11-01 05:0611-01 05:09,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
92,100227,,Yellow /596.57 Mbps /  over 50.00 Mbps / max 596.57 Mbps,Recovered,11-01 05:0611-01 05:09,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
93,100226,,Yellow /653.31 Mbps /  over 200.00 Mbps / max 653.31 Mbps,Recovered,11-01 05:0111-01 05:04,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
94,100225,,Yellow /573.88 Mbps /  over 50.00 Mbps / max 573.88 Mbps,Recovered,11-01 05:0111-01 05:04,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
95,100224,,Yellow /701.73 Mbps /  over 200.00 Mbps / max 701.73 Mbps,Recovered,11-01 04:5611-01 04:59,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
96,100223,,Yellow /604.45 Mbps /  over 50.00 Mbps / max 604.45 Mbps,Recovered,11-01 04:5611-01 04:59,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
97,100222,,Yellow /711.33 Mbps /  over 200.00 Mbps / max 711.33 Mbps,Recovered,11-01 04:5111-01 04:54,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
98,100221,,Yellow /620.79 Mbps /  over 50.00 Mbps / max 620.79 Mbps,Recovered,11-01 04:5111-01 04:54,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
99,100220,,Yellow /718.37 Mbps /  over 200.00 Mbps / max 718.37 Mbps,Recovered,11-01 04:4611-01 04:49,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
